zip_city_id;zip postal;city
680;3770;Vlijtingen
681;3770;Vroenhoven
682;3770;Zichen-Zussen-Bolder
683;3790;Fouron-Saint-Martin
684;3790;Mouland
685;3791;Remersdaal
686;3792;Fouron-Saint-Pierre
687;3793;Teuven
688;3798;Fouron-Le-Comte
689;3800;Aalst
690;3800;Brustem
691;3800;Engelmanshoven
692;3800;Gelinden
693;3800;Groot-Gelmen
694;3800;Halmaal
695;3800;Kerkom-bij-Sint-Truiden
696;3800;Ordingen
697;3800;Sint-Truiden
698;3800;Zepperen
699;3803;Duras
700;3803;Gorsem
701;3803;Runkelen
702;3803;Wilderen
703;3806;Velm
704;3830;Berlingen
705;3830;Wellen
706;3831;Herten
707;3832;Ulbeek
708;3840;Bommershoven
709;3840;Borgloon
710;3840;Broekom
711;3840;Gors-Opleeuw
712;3840;Gotem
713;3840;Groot-Loon
714;3840;Haren
715;3840;Hendrieken
716;3840;Hoepertingen
717;3840;Jesseren
718;3840;Kerniel
719;3840;Kolmont
720;3840;Kuttekoven
721;3840;Rijkel
722;3840;Voort
723;3850;Binderveld
724;3850;Kozen
725;3850;Nieuwerkerken
726;3850;Wijer
727;3870;Batsheers
728;3870;Bovelingen
729;3870;Gutshoven
730;3870;Heers
731;3870;Heks
732;3870;Horpmaal
733;3870;Klein-Gelmen
734;3870;Mechelen-Bovelingen
735;3870;Mettekoven
736;3870;Opheers
737;3870;Rukkelingen-Loon
738;3870;Vechmaal
739;3870;Veulen
740;3890;Boekhout
741;3890;Gingelom
742;3890;Jeuk
743;3890;Kortijs
744;3890;Montenaken
745;3890;Niel-bij-Sint-Truiden
746;3890;Vorsen
747;3891;Borlo
748;3891;Buvingen
749;3891;Mielen-boven-Aalst
750;3891;Muizen
751;3900;Overpelt
752;3910;Neerpelt
753;3910;Sint-Huibrechts-Lille
754;3920;Lommel
755;3930;Achel
756;3930;Hamont
757;3940;Hechtel
758;3941;Eksel
759;3945;Kwaadmechelen
760;3945;Oostham
761;3950;Bocholt
762;3950;Kaulille
763;3950;Reppel
764;3960;Beek
765;3960;Bree
766;3960;Gerdingen
767;3960;Opitter
768;3960;Tongerlo
769;3970;Leopoldsburg
770;3971;Heppen
771;3980;Tessenderlo
772;3990;Grote-Brogel
773;3990;Kleine-Brogel
774;3990;Peer
775;3990;Wijchmaal
776;4000;Glain
777;4000;Li�ge
778;4000;Rocourt
779;4020;Bressoux
780;4020;Jupille-sur-Meuse
781;4020;Li�ge
782;4020;Wandre
783;4030;Grivegn�e
784;4031;Angleur
785;4032;Ch�n�e
786;4040;Herstal
787;4041;Milmort
788;4041;Vottem
789;4042;Liers
790;4050;Chaudfontaine
791;4051;Vaux-sous-Ch�vremont
792;4052;Beaufays
793;4053;Embourg
794;4099;Li�ge X
795;4100;Boncelles
796;4100;Seraing
797;4101;Jemeppe-sur-Meuse
798;4102;Ougr�e
799;4120;Ehein
800;4120;Rotheux-Rimi�re
801;4121;Neuville-en-Condroz
802;4122;Plainevaux
803;4130;Esneux
804;4130;Tilff
805;4140;Dolembreux
806;4140;Gomz�-Andoumont
807;4140;Rouvreux
808;4140;Sprimont
809;4141;Louveign�
810;4160;Anthisnes
811;4161;Villers-aux-Tours
812;4162;Hody
813;4163;Tavier
814;4170;Comblain-au-Pont
815;4171;Poulseur
816;4180;Comblain-Fairon
817;4180;Comblain-la-Tour
818;4180;Hamoir
819;4181;Filot
820;4190;Ferri�res
821;4190;My
822;4190;Vieuxville
823;4190;Werbomont
824;4190;Xhoris
825;4210;Burdinne
826;4210;Hann�che
827;4210;Lamontz�e
828;4210;Marneffe
829;4210;Oteppe
830;4217;H�ron
831;4217;Lavoir
832;4217;Waret-l'�v�que
833;4218;Couthuin
834;4219;Acosse
835;4219;Ambresin
836;4219;Meeffe
837;4219;Wasseiges
838;4250;Bo�lhe
839;4250;Geer
840;4250;Hollogne-sur-Geer
841;4250;Lens-Saint-Servais
842;4252;Omal
843;4253;Darion
844;4254;Ligney
845;4257;Berloz
846;4257;Corswarem
847;4257;Rosoux-Crenwick
848;4260;Avennes
849;4260;Braives
850;4260;Ciplet
851;4260;Fallais
852;4260;Fumal
853;4260;Ville-en-Hesbaye
854;4261;Latinne
855;4263;Tourinne
856;4280;Abolens
857;4280;Avernas-le-Bauduin
858;4280;Avin
859;4280;Bertr�e
860;4280;Blehen
861;4280;Cras-Avernas
862;4280;Crehen
863;4280;Grand-Hallet
864;4280;Hannut
865;4280;Lens-Saint-Remy
866;4280;Merdorp
867;4280;Moxhe
868;4280;Petit-Hallet
869;4280;Poucet
870;4280;Thisnes
871;4280;Trogn�e
872;4280;Villers-le-Peuplier
873;4280;Wansin
874;4287;Lincent
875;4287;Pellaines
876;4287;Racour
877;4300;Bettincourt
878;4300;Bleret
879;4300;Bovenistier
880;4300;Grand-Axhe
881;4300;Lantremange
882;4300;Oleye
883;4300;Waremme
884;4317;Aineffe
885;4317;Borlez
886;4317;Celles
887;4317;Faimes
888;4317;Les Waleffes
889;4317;Viemme
890;4340;Awans
891;4340;Fooz
892;4340;Oth�e
893;4340;Villers-l'Ev�que
894;4342;Hognoul
895;4347;Fexhe-le-Haut-Clocher
896;4347;Freloux
897;4347;Noville
898;4347;Roloux
899;4347;Voroux-Goreux
900;4350;Lamine
901;4350;Momalle
902;4350;Pousset
903;4350;Remicourt
904;4351;Hodeige
905;4357;Donceel
906;4357;Haneffe
907;4357;Jeneffe
908;4357;Limont
909;4360;Bergilers
910;4360;Grandville
911;4360;Lens-sur-Geer
912;4360;Oreye
913;4360;Otrange
914;4367;Crisn�e
915;4367;Fize-Le-Marsal
916;4367;Kemexhe
917;4367;Odeur
918;4367;Thys
919;4400;Awirs
920;4400;Chokier
921;4400;Fl�malle-Grande
922;4400;Fl�malle-Haute
923;4400;Gleixhe
924;4400;Ivoz-Ramet
925;4400;Mons-lez-Li�ge
926;4420;Montegn�e
927;4420;Saint-Nicolas
928;4420;Tilleur
929;4430;Ans
930;4431;Loncin
931;4432;Alleur
932;4432;Xhendremael
933;4450;Juprelle
934;4450;Lantin
935;4450;Slins
936;4451;Voroux-lez-Liers
937;4452;Paifve
938;4452;Wihogne
939;4453;Villers-Saint-Sim�on
940;4458;Fexhe-Slins
941;4460;Bierset
942;4460;Gr�ce-Berleur
943;4460;Gr�ce-Hollogne
944;4460;Hollogne-aux-Pierres
945;4460;Horion-Hoz�mont
946;4460;Velroux
947;4470;Saint-Georges-sur-Meuse
948;4480;Clermont-sous-Huy
949;4480;Ehein
950;4480;Engis
951;4480;Hermalle-sous-Huy
952;4500;Ben-Ahin
953;4500;Huy
954;4500;Tihange
955;4520;Antheit
956;4520;Bas-Oha
957;4520;Huccorgne
958;4520;Moha
